Model Number,Case Style,Subcategories,F Low (MHz),F High (MHz),Gain (dB) Typ.,NF (dB) Typ.,Power Out (dBm) @ 1dB Comp. Typ.,Out. IP3 (dBm) Typ.,Input VSWR (:1) Typ.,Output VSWR (:1) Typ.,Voltage (V),DC Current (mA),Connector Type,Option,Interface,Impedance (Ohms),
LHA-23LN+,DQ1225,Low Noise Amplifier,30,2000,21.2,1.2,23.8,36.9,1.9,1.25,5/3,146/75,-,-,SMT,50,Y
MAR-6SM+,WW107,Low Noise Amplifier,DC,2000,20.2,2.3,3.7,18.1,1.2,1.2,3.5,16,-,-,SMT,50,Y
MNA-6A+,DQ849,Low Noise Amplifier,500,2500,25,2.6,20.2,32.4,1.5,1.1,2.8/5.0,92/99,-,-,SMT,50,Y
MNA-6W+,DQ849,Low Noise Amplifier,500,5500,23.2,2.7,19.2,30,1.4,1.2,2.8/5.0,92/99,-,-,SMT,50,Y
PGA-102+,DF782,Low Noise Amplifier,50,6000,15.9,2.3,17.4,32.7,1.27,1.27,3.3,83,-,-,SMT,50,Y
PGA-103+,DF782,Low Noise Amplifier,50,4000,11,0.9,22.5,44.6,1.6,1.2,3.0/5.0,60/97,-,-,SMT,50,Y
PGA-105+,DF782,Low Noise Amplifier,40,2600,15.1,1.9,20.5,39.3,1.5,1.5,5,63,-,-,SMT,50,Y
PGA-1021+,DF782,Low Noise Amplifier,50,6000,15.1,2.3,16.8,26.5,1.35,1.11,3.3,57,-,-,SMT,50,Y
PHA-13HLN+,DF782,Low Noise Amplifier,1,1000,22.7,1.1,28.7,43,1.3,1.3,8,234,-,-,SMT,50,Y
PHA-13LN+,DF782,Low Noise Amplifier,1,1000,22.4,1,24.5,39,1.3,1.3,5.0/3/0,138/71,-,-,SMT,50,Y
PHA-23HLN+,DF782,Low Noise Amplifier,30,2000,21.3,1.4,28.4,44.4,1.7,1.48,8,235,-,-,SMT,50,Y
PHA-23LN+,DF782,Low Noise Amplifier,30,2000,21,1.2,23.9,37.4,1.7,1.25,5.0/3.0,171/72,-,-,SMT,50,Y
PMA-183PLN+,JV2579,Low Noise Amplifier,6000,18000,27.5,1.2,9.6,22.4,1.5,1.5,2.6,57,-,-,SMT,50,Y
PMA-545+,DQ849,Low Noise Amplifier,50,6000,14.2,0.8,20.3,36.4,2.3,1.3,3,80,-,-,SMT,50,Y
PMA-545G1+,DQ849,Low Noise Amplifier,400,2200,31.3,1,22.2,33.6,1.6,1.4,5,158,-,-,SMT,50,Y
PMA-545G2+,DQ849,Low Noise Amplifier,1100,1600,30.4,1,22,33.6,1.6,1.4,5,158,-,-,SMT,50,Y
PMA-545G3+,DQ849,Low Noise Amplifier,700,1000,31.3,0.9,21.9,33.4,1.6,1.4,5,158,-,-,SMT,50,Y
PMA-5451+,DQ849,Low Noise Amplifier,50,6000,13.7,0.8,16.8,30.8,2.6,1.3,3,30,-,-,SMT,50,Y
PMA-5452+,DQ849,Low Noise Amplifier,50,6000,14,0.7,18.3,34.1,2.6,1.3,3,40,-,-,SMT,50,Y
PMA-5453+,DQ849,Low Noise Amplifier,50,6000,14.3,0.7,19.64,36.8,2.6,1.3,3,60,-,-,SMT,50,Y
